id,source,status,initial_wrong,verified_success,note
0,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
1,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
2,mmlu_high_school_mathematics,Success,3,1,
3,mmlu_high_school_mathematics,Failed (Verification),4,0,All candidates failed
4,mmlu_high_school_mathematics,Success,2,1,
5,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
6,mmlu_high_school_mathematics,Success,4,2,
7,mmlu_high_school_mathematics,Success,2,1,
8,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
9,mmlu_high_school_mathematics,Failed (Verification),6,0,All candidates failed
10,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
11,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
12,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
13,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
14,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
15,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
16,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
17,mmlu_high_school_mathematics,Success,4,4,
18,mmlu_high_school_mathematics,Success,1,1,
19,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
20,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
21,mmlu_high_school_mathematics,Success,1,1,
22,mmlu_high_school_mathematics,Success,3,2,
23,mmlu_high_school_mathematics,Success,2,1,
24,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
25,mmlu_high_school_mathematics,Success,1,1,
26,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
27,mmlu_high_school_mathematics,Failed (Verification),2,0,All candidates failed
28,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
29,mmlu_high_school_mathematics,Failed (Verification),5,0,All candidates failed
30,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
31,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
32,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
33,mmlu_high_school_mathematics,Success,5,1,
34,mmlu_high_school_mathematics,Failed (Verification),5,0,All candidates failed
35,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
36,mmlu_high_school_mathematics,Failed (Verification),2,0,All candidates failed
37,mmlu_high_school_mathematics,Success,1,1,
38,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
39,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
40,mmlu_high_school_mathematics,Success,4,2,
41,mmlu_high_school_mathematics,Success,1,1,
42,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
43,mmlu_high_school_mathematics,Success,6,6,
44,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
45,mmlu_high_school_mathematics,Success,4,4,
46,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
47,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
48,mmlu_high_school_mathematics,Success,2,2,
49,mmlu_high_school_mathematics,Success,4,2,
50,mmlu_high_school_mathematics,Failed (Verification),3,0,All candidates failed
51,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
52,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
53,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
54,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
55,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
56,mmlu_high_school_mathematics,Failed (Verification),5,0,All candidates failed
57,mmlu_high_school_mathematics,Failed (Verification),4,0,All candidates failed
58,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
59,mmlu_high_school_mathematics,Failed (Verification),6,0,All candidates failed
60,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
