id,source,status,initial_wrong,verified_success,note
0,mmlu_abstract_algebra,Success,3,2,
1,mmlu_abstract_algebra,Success,4,1,
2,mmlu_abstract_algebra,Skipped (All Correct),0,0,
3,mmlu_abstract_algebra,Success,6,2,
4,mmlu_abstract_algebra,Skipped (All Correct),0,0,
5,mmlu_abstract_algebra,Success,6,3,
6,mmlu_abstract_algebra,Success,4,3,
7,mmlu_abstract_algebra,Failed (Verification),6,0,All candidates failed
8,mmlu_abstract_algebra,Success,2,2,
9,mmlu_abstract_algebra,Skipped (All Correct),0,0,
10,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
11,mmlu_abstract_algebra,Success,2,2,
12,mmlu_abstract_algebra,Success,1,1,
13,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
14,mmlu_abstract_algebra,Success,4,1,
15,mmlu_abstract_algebra,Success,2,1,
16,mmlu_abstract_algebra,Success,1,1,
17,mmlu_abstract_algebra,Success,2,2,
18,mmlu_abstract_algebra,Success,2,2,
19,mmlu_abstract_algebra,Skipped (All Correct),0,0,
20,mmlu_abstract_algebra,Success,2,1,
21,mmlu_abstract_algebra,Success,1,1,
22,mmlu_abstract_algebra,Success,5,1,
23,mmlu_abstract_algebra,Success,5,2,
24,mmlu_abstract_algebra,Failed (Verification),6,0,All candidates failed
25,mmlu_abstract_algebra,Success,2,1,
26,mmlu_abstract_algebra,Success,4,4,
27,mmlu_abstract_algebra,Success,3,3,
28,mmlu_abstract_algebra,Success,1,1,
29,mmlu_abstract_algebra,Skipped (All Correct),0,0,
30,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
31,mmlu_abstract_algebra,Success,2,1,
32,mmlu_abstract_algebra,Skipped (All Correct),0,0,
33,mmlu_abstract_algebra,Skipped (All Correct),0,0,
34,mmlu_abstract_algebra,Success,2,2,
35,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
36,mmlu_abstract_algebra,Skipped (All Correct),0,0,
37,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
38,mmlu_abstract_algebra,Skipped (All Correct),0,0,
39,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
40,mmlu_abstract_algebra,Success,3,1,
41,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
42,mmlu_abstract_algebra,Success,5,1,
43,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
44,mmlu_abstract_algebra,Success,4,1,
45,mmlu_abstract_algebra,Success,1,1,
46,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
47,mmlu_abstract_algebra,Skipped (All Correct),0,0,
48,mmlu_abstract_algebra,Failed (Verification),6,0,All candidates failed
49,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
50,mmlu_abstract_algebra,Success,1,1,
51,mmlu_abstract_algebra,Success,1,1,
52,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
53,mmlu_abstract_algebra,Success,6,1,
54,mmlu_abstract_algebra,Skipped (All Correct),0,0,
55,mmlu_abstract_algebra,Success,1,1,
56,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
57,mmlu_abstract_algebra,Success,3,3,
58,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
59,mmlu_abstract_algebra,Success,1,1,
60,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
61,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
62,mmlu_abstract_algebra,Failed (Verification),6,0,All candidates failed
63,mmlu_abstract_algebra,Success,6,3,
64,mmlu_abstract_algebra,Skipped (All Correct),0,0,
65,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
66,mmlu_abstract_algebra,Failed (Verification),6,0,All candidates failed
67,mmlu_abstract_algebra,Success,6,1,
68,mmlu_abstract_algebra,Success,3,2,
69,mmlu_abstract_algebra,Success,5,3,
70,mmlu_abstract_algebra,Success,4,1,
71,mmlu_abstract_algebra,Success,2,1,
72,mmlu_abstract_algebra,Success,3,2,
73,mmlu_abstract_algebra,Skipped (All Correct),0,0,
74,mmlu_abstract_algebra,Success,2,2,
75,mmlu_abstract_algebra,Skipped (All Correct),0,0,
76,mmlu_abstract_algebra,Success,1,1,
77,mmlu_abstract_algebra,Success,2,1,
78,mmlu_abstract_algebra,Success,5,5,
79,mmlu_abstract_algebra,Success,3,1,
80,mmlu_abstract_algebra,Success,4,4,
81,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
82,mmlu_abstract_algebra,Skipped (All Correct),0,0,
83,mmlu_abstract_algebra,Success,2,1,
84,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
85,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
86,mmlu_abstract_algebra,Skipped (All Correct),0,0,
87,mmlu_abstract_algebra,Success,4,1,
88,mmlu_abstract_algebra,Skipped (All Correct),0,0,
89,mmlu_abstract_algebra,Success,2,1,
90,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
91,mmlu_abstract_algebra,Skipped (All Correct),0,0,
92,mmlu_abstract_algebra,Skipped (All Correct),0,0,
93,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
94,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
95,mmlu_abstract_algebra,Failed (Verification),6,0,All candidates failed
96,mmlu_abstract_algebra,Skipped (All Correct),0,0,
97,mmlu_abstract_algebra,Success,3,1,
98,mmlu_abstract_algebra,Success,1,1,
99,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
100,mmlu_anatomy,Success,2,2,
101,mmlu_anatomy,Failed (Verification),4,0,All candidates failed
102,mmlu_anatomy,Success,2,1,
103,mmlu_anatomy,Failed (Verification),1,0,All candidates failed
104,mmlu_anatomy,Success,1,1,
105,mmlu_anatomy,Failed (Verification),6,0,All candidates failed
106,mmlu_anatomy,Failed (Verification),6,0,All candidates failed
107,mmlu_anatomy,Failed (Verification),4,0,All candidates failed
108,mmlu_anatomy,Failed (Verification),6,0,All candidates failed
109,mmlu_anatomy,Success,4,2,
110,mmlu_anatomy,Success,5,3,
111,mmlu_anatomy,Failed (Verification),6,0,All candidates failed
112,mmlu_anatomy,Failed (Verification),6,0,All candidates failed
113,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
114,mmlu_anatomy,Failed (Verification),6,0,All candidates failed
115,mmlu_anatomy,Success,6,2,
116,mmlu_anatomy,Failed (Verification),6,0,All candidates failed
117,mmlu_anatomy,Success,1,1,
118,mmlu_anatomy,Failed (Verification),3,0,All candidates failed
119,mmlu_anatomy,Success,3,2,
120,mmlu_anatomy,Failed (Verification),4,0,All candidates failed
121,mmlu_anatomy,Failed (Verification),6,0,All candidates failed
122,mmlu_anatomy,Failed (Verification),6,0,All candidates failed
123,mmlu_anatomy,Failed (Verification),6,0,All candidates failed
124,mmlu_anatomy,Success,6,1,
125,mmlu_anatomy,Success,5,1,
126,mmlu_anatomy,Failed (Verification),4,0,All candidates failed
127,mmlu_anatomy,Success,2,1,
128,mmlu_anatomy,Skipped (All Correct),0,0,
129,mmlu_anatomy,Failed (Verification),6,0,All candidates failed
130,mmlu_anatomy,Skipped (All Correct),0,0,
131,mmlu_anatomy,Success,6,3,
132,mmlu_anatomy,Failed (Verification),4,0,All candidates failed
133,mmlu_anatomy,Failed (Verification),6,0,All candidates failed
134,mmlu_anatomy,Success,3,1,
135,mmlu_anatomy,Success,5,2,
136,mmlu_anatomy,Success,1,1,
137,mmlu_anatomy,Success,3,2,
138,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
139,mmlu_anatomy,Skipped (All Correct),0,0,
140,mmlu_anatomy,Success,4,1,
141,mmlu_anatomy,Success,5,2,
142,mmlu_anatomy,Failed (Verification),1,0,All candidates failed
143,mmlu_anatomy,Success,6,2,
144,mmlu_anatomy,Success,4,2,
145,mmlu_anatomy,Failed (Verification),4,0,All candidates failed
146,mmlu_anatomy,Skipped (All Correct),0,0,
147,mmlu_anatomy,Skipped (All Correct),0,0,
148,mmlu_anatomy,Success,6,1,
149,mmlu_anatomy,Failed (Verification),6,0,All candidates failed
150,mmlu_anatomy,Failed (Verification),3,0,All candidates failed
151,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
152,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
153,mmlu_anatomy,Failed (Verification),6,0,All candidates failed
154,mmlu_anatomy,Success,6,3,
155,mmlu_anatomy,Success,3,1,
156,mmlu_anatomy,Skipped (All Correct),0,0,
157,mmlu_anatomy,Success,4,2,
158,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
159,mmlu_anatomy,Failed (Verification),1,0,All candidates failed
160,mmlu_anatomy,Success,3,1,
161,mmlu_anatomy,Success,5,1,
162,mmlu_anatomy,Success,1,1,
163,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
164,mmlu_anatomy,Skipped (All Correct),0,0,
165,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
166,mmlu_anatomy,Success,2,1,
