id,source,status,initial_wrong,verified_success,note
0,mmlu_abstract_algebra,Failed (Verification),3,0,All candidates failed
1,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
2,mmlu_abstract_algebra,Skipped (All Correct),0,0,
3,mmlu_abstract_algebra,Success,6,2,
4,mmlu_abstract_algebra,Success,1,1,
5,mmlu_abstract_algebra,Success,3,1,
6,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
7,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
8,mmlu_abstract_algebra,Success,3,1,
9,mmlu_abstract_algebra,Success,2,2,
10,mmlu_abstract_algebra,Success,3,1,
11,mmlu_abstract_algebra,Skipped (All Correct),0,0,
12,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
13,mmlu_abstract_algebra,Failed (Verification),3,0,All candidates failed
14,mmlu_abstract_algebra,Success,4,1,
15,mmlu_abstract_algebra,Success,3,3,
16,mmlu_abstract_algebra,Success,1,1,
17,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
18,mmlu_abstract_algebra,Success,3,3,
19,mmlu_abstract_algebra,Skipped (All Correct),0,0,
20,mmlu_abstract_algebra,Skipped (All Correct),0,0,
21,mmlu_abstract_algebra,Success,1,1,
22,mmlu_abstract_algebra,Success,5,2,
23,mmlu_abstract_algebra,Success,4,1,
24,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
25,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
26,mmlu_abstract_algebra,Success,1,1,
27,mmlu_abstract_algebra,Failed (Verification),3,0,All candidates failed
28,mmlu_abstract_algebra,Skipped (All Correct),0,0,
29,mmlu_abstract_algebra,Skipped (All Correct),0,0,
30,mmlu_abstract_algebra,Skipped (All Correct),0,0,
31,mmlu_abstract_algebra,Success,2,1,
32,mmlu_abstract_algebra,Skipped (All Correct),0,0,
33,mmlu_abstract_algebra,Skipped (All Correct),0,0,
34,mmlu_abstract_algebra,Success,1,1,
35,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
36,mmlu_abstract_algebra,Success,1,1,
37,mmlu_abstract_algebra,Failed (Verification),3,0,All candidates failed
38,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
39,mmlu_abstract_algebra,Success,2,1,
40,mmlu_abstract_algebra,Failed (Verification),3,0,All candidates failed
41,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
42,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
43,mmlu_abstract_algebra,Success,1,1,
44,mmlu_abstract_algebra,Success,3,1,
45,mmlu_abstract_algebra,Skipped (All Correct),0,0,
46,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
47,mmlu_abstract_algebra,Skipped (All Correct),0,0,
48,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
49,mmlu_abstract_algebra,Success,4,1,
50,mmlu_abstract_algebra,Success,2,1,
51,mmlu_abstract_algebra,Success,1,1,
52,mmlu_abstract_algebra,Success,3,1,
53,mmlu_abstract_algebra,Success,3,1,
54,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
55,mmlu_abstract_algebra,Success,2,1,
56,mmlu_abstract_algebra,Success,5,2,
57,mmlu_abstract_algebra,Success,1,1,
58,mmlu_abstract_algebra,Success,3,2,
59,mmlu_abstract_algebra,Success,1,1,
60,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
61,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
62,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
63,mmlu_abstract_algebra,Success,4,2,
64,mmlu_abstract_algebra,Success,3,1,
65,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
66,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
67,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
68,mmlu_abstract_algebra,Success,2,2,
69,mmlu_abstract_algebra,Success,3,1,
70,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
71,mmlu_abstract_algebra,Success,1,1,
72,mmlu_abstract_algebra,Success,2,2,
73,mmlu_abstract_algebra,Skipped (All Correct),0,0,
74,mmlu_abstract_algebra,Success,2,2,
75,mmlu_abstract_algebra,Skipped (All Correct),0,0,
76,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
77,mmlu_abstract_algebra,Success,3,3,
78,mmlu_abstract_algebra,Skipped (All Correct),0,0,
79,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
80,mmlu_abstract_algebra,Success,2,1,
81,mmlu_abstract_algebra,Success,5,1,
82,mmlu_abstract_algebra,Skipped (All Correct),0,0,
83,mmlu_abstract_algebra,Success,1,1,
84,mmlu_abstract_algebra,Success,4,2,
85,mmlu_abstract_algebra,Success,2,1,
86,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
87,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
88,mmlu_abstract_algebra,Success,1,1,
89,mmlu_abstract_algebra,Success,2,2,
90,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
91,mmlu_abstract_algebra,Success,2,2,
92,mmlu_abstract_algebra,Success,1,1,
93,mmlu_abstract_algebra,Failed (Verification),3,0,All candidates failed
94,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
95,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
96,mmlu_abstract_algebra,Success,2,2,
97,mmlu_abstract_algebra,Success,2,1,
98,mmlu_abstract_algebra,Success,2,2,
99,mmlu_abstract_algebra,Success,5,2,
100,mmlu_anatomy,Success,1,1,
101,mmlu_anatomy,Success,4,2,
102,mmlu_anatomy,Success,3,1,
103,mmlu_anatomy,Success,4,3,
104,mmlu_anatomy,Success,3,1,
105,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
106,mmlu_anatomy,Success,3,1,
107,mmlu_anatomy,Failed (Verification),2,0,All candidates failed
108,mmlu_anatomy,Failed (Verification),4,0,All candidates failed
109,mmlu_anatomy,Success,5,1,
110,mmlu_anatomy,Failed (Verification),4,0,All candidates failed
111,mmlu_anatomy,Success,5,2,
112,mmlu_anatomy,Success,5,1,
113,mmlu_anatomy,Success,5,1,
114,mmlu_anatomy,Failed (Verification),4,0,All candidates failed
115,mmlu_anatomy,Success,4,2,
116,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
117,mmlu_anatomy,Success,4,1,
118,mmlu_anatomy,Success,4,1,
119,mmlu_anatomy,Success,1,1,
120,mmlu_anatomy,Success,3,2,
121,mmlu_anatomy,Success,4,2,
122,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
123,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
124,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
125,mmlu_anatomy,Success,5,2,
126,mmlu_anatomy,Success,4,1,
127,mmlu_anatomy,Success,1,1,
128,mmlu_anatomy,Failed (Verification),3,0,All candidates failed
129,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
130,mmlu_anatomy,Success,2,2,
131,mmlu_anatomy,Failed (Verification),2,0,All candidates failed
132,mmlu_anatomy,Success,3,1,
133,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
134,mmlu_anatomy,Success,3,1,
135,mmlu_anatomy,Success,2,2,
136,mmlu_anatomy,Success,3,1,
137,mmlu_anatomy,Failed (Verification),3,0,All candidates failed
138,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
139,mmlu_anatomy,Success,3,2,
140,mmlu_anatomy,Success,4,1,
141,mmlu_anatomy,Success,4,2,
142,mmlu_anatomy,Success,3,2,
143,mmlu_anatomy,Success,4,2,
144,mmlu_anatomy,Success,2,1,
145,mmlu_anatomy,Success,4,1,
146,mmlu_anatomy,Success,4,1,
147,mmlu_anatomy,Success,1,1,
148,mmlu_anatomy,Failed (Verification),2,0,All candidates failed
149,mmlu_anatomy,Success,4,2,
150,mmlu_anatomy,Success,4,1,
151,mmlu_anatomy,Failed (Verification),4,0,All candidates failed
152,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
153,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
154,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
155,mmlu_anatomy,Success,1,1,
156,mmlu_anatomy,Success,4,4,
157,mmlu_anatomy,Success,3,2,
158,mmlu_anatomy,Success,4,1,
159,mmlu_anatomy,Success,4,2,
160,mmlu_anatomy,Failed (Verification),4,0,All candidates failed
161,mmlu_anatomy,Failed (Verification),1,0,All candidates failed
162,mmlu_anatomy,Failed (Verification),1,0,All candidates failed
163,mmlu_anatomy,Success,5,1,
164,mmlu_anatomy,Skipped (All Correct),0,0,
165,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
166,mmlu_anatomy,Success,4,1,
167,mmlu_anatomy,Failed (Verification),3,0,All candidates failed
168,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
169,mmlu_anatomy,Success,4,1,
170,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
171,mmlu_anatomy,Failed (Verification),4,0,All candidates failed
172,mmlu_anatomy,Failed (Verification),3,0,All candidates failed
173,mmlu_anatomy,Skipped (All Correct),0,0,
174,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
175,mmlu_anatomy,Failed (Verification),3,0,All candidates failed
176,mmlu_anatomy,Skipped (All Correct),0,0,
177,mmlu_anatomy,Success,2,1,
178,mmlu_anatomy,Skipped (All Correct),0,0,
179,mmlu_anatomy,Success,4,1,
180,mmlu_anatomy,Success,5,2,
181,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
182,mmlu_anatomy,Failed (Verification),4,0,All candidates failed
183,mmlu_anatomy,Success,4,4,
184,mmlu_anatomy,Success,3,3,
185,mmlu_anatomy,Success,4,2,
186,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
187,mmlu_anatomy,Success,4,3,
188,mmlu_anatomy,Success,5,1,
189,mmlu_anatomy,Skipped (All Correct),0,0,
190,mmlu_anatomy,Success,5,1,
191,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
192,mmlu_anatomy,Success,4,4,
193,mmlu_anatomy,Success,4,1,
194,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
195,mmlu_anatomy,Success,5,1,
196,mmlu_anatomy,Success,3,1,
197,mmlu_anatomy,Failed (Verification),1,0,All candidates failed
198,mmlu_anatomy,Success,5,3,
199,mmlu_anatomy,Success,4,1,
200,mmlu_astronomy,Skipped (All Correct),0,0,
201,mmlu_astronomy,Failed (Verification),5,0,All candidates failed
202,mmlu_astronomy,Failed (Verification),5,0,All candidates failed
203,mmlu_astronomy,Failed (Verification),3,0,All candidates failed
204,mmlu_astronomy,Failed (Verification),4,0,All candidates failed
205,mmlu_astronomy,Skipped (All Correct),0,0,
206,mmlu_astronomy,Failed (Verification),5,0,All candidates failed
207,mmlu_astronomy,Failed (Verification),5,0,All candidates failed
208,mmlu_astronomy,Success,1,1,
209,mmlu_astronomy,Failed (Verification),4,0,All candidates failed
210,mmlu_astronomy,Failed (Verification),4,0,All candidates failed
211,mmlu_astronomy,Success,2,1,
212,mmlu_astronomy,Success,1,1,
213,mmlu_astronomy,Failed (Verification),5,0,All candidates failed
214,mmlu_astronomy,Failed (Verification),3,0,All candidates failed
215,mmlu_astronomy,Success,4,3,
216,mmlu_astronomy,Failed (Verification),4,0,All candidates failed
217,mmlu_astronomy,Success,1,1,
218,mmlu_astronomy,Failed (Verification),5,0,All candidates failed
219,mmlu_astronomy,Failed (Verification),4,0,All candidates failed
220,mmlu_astronomy,Success,4,1,
221,mmlu_astronomy,Success,4,1,
222,mmlu_astronomy,Success,4,1,
223,mmlu_astronomy,Failed (Verification),5,0,All candidates failed
224,mmlu_astronomy,Skipped (All Correct),0,0,
225,mmlu_astronomy,Success,2,2,
226,mmlu_astronomy,Failed (Verification),5,0,All candidates failed
227,mmlu_astronomy,Success,3,2,
228,mmlu_astronomy,Failed (Verification),3,0,All candidates failed
229,mmlu_astronomy,Success,4,1,
230,mmlu_astronomy,Success,5,1,
231,mmlu_astronomy,Failed (Verification),4,0,All candidates failed
232,mmlu_astronomy,Failed (Verification),4,0,All candidates failed
233,mmlu_astronomy,Failed (Verification),4,0,All candidates failed
234,mmlu_astronomy,Success,4,2,
235,mmlu_astronomy,Success,4,1,
236,mmlu_astronomy,Success,1,1,
237,mmlu_astronomy,Success,3,1,
238,mmlu_astronomy,Success,4,1,
239,mmlu_astronomy,Success,4,1,
240,mmlu_astronomy,Success,1,1,
241,mmlu_astronomy,Failed (Verification),5,0,All candidates failed
242,mmlu_astronomy,Failed (Verification),3,0,All candidates failed
243,mmlu_astronomy,Failed (Verification),2,0,All candidates failed
244,mmlu_astronomy,Failed (Verification),4,0,All candidates failed
245,mmlu_astronomy,Failed (Verification),5,0,All candidates failed
246,mmlu_astronomy,Failed (Verification),2,0,All candidates failed
247,mmlu_astronomy,Success,2,2,
248,mmlu_astronomy,Failed (Verification),4,0,All candidates failed
249,mmlu_astronomy,Failed (Verification),5,0,All candidates failed
250,mmlu_astronomy,Skipped (All Correct),0,0,
251,mmlu_astronomy,Success,2,1,
252,mmlu_astronomy,Success,5,1,
253,mmlu_astronomy,Success,4,2,
254,mmlu_astronomy,Success,3,2,
255,mmlu_astronomy,Success,4,1,
256,mmlu_astronomy,Success,3,3,
257,mmlu_astronomy,Success,4,2,
258,mmlu_astronomy,Success,3,2,
259,mmlu_astronomy,Success,5,2,
260,mmlu_astronomy,Failed (Verification),3,0,All candidates failed
261,mmlu_astronomy,Failed (Verification),4,0,All candidates failed
262,mmlu_astronomy,Success,5,1,
263,mmlu_astronomy,Failed (Verification),4,0,All candidates failed
264,mmlu_astronomy,Success,4,2,
265,mmlu_astronomy,Success,5,1,
266,mmlu_astronomy,Success,4,2,
267,mmlu_astronomy,Failed (Verification),5,0,All candidates failed
268,mmlu_astronomy,Success,4,1,
269,mmlu_astronomy,Failed (Verification),3,0,All candidates failed
270,mmlu_astronomy,Failed (Verification),5,0,All candidates failed
271,mmlu_astronomy,Success,4,2,
272,mmlu_astronomy,Success,1,1,
273,mmlu_astronomy,Success,4,2,
274,mmlu_astronomy,Success,5,1,
275,mmlu_astronomy,Failed (Verification),3,0,All candidates failed
276,mmlu_astronomy,Success,1,1,
277,mmlu_astronomy,Success,2,2,
278,mmlu_astronomy,Success,4,2,
279,mmlu_astronomy,Success,2,2,
280,mmlu_astronomy,Success,3,3,
281,mmlu_astronomy,Failed (Verification),2,0,All candidates failed
282,mmlu_astronomy,Success,3,3,
283,mmlu_astronomy,Success,5,2,
284,mmlu_astronomy,Success,4,3,
285,mmlu_astronomy,Success,2,1,
286,mmlu_astronomy,Success,3,3,
287,mmlu_astronomy,Success,4,1,
288,mmlu_astronomy,Success,5,1,
289,mmlu_astronomy,Failed (Verification),5,0,All candidates failed
290,mmlu_astronomy,Success,5,4,
291,mmlu_astronomy,Failed (Verification),5,0,All candidates failed
292,mmlu_astronomy,Success,2,2,
293,mmlu_astronomy,Failed (Verification),5,0,All candidates failed
294,mmlu_astronomy,Success,5,2,
295,mmlu_astronomy,Success,3,1,
296,mmlu_astronomy,Skipped (All Correct),0,0,
297,mmlu_astronomy,Skipped (All Correct),0,0,
298,mmlu_astronomy,Skipped (All Correct),0,0,
299,mmlu_astronomy,Failed (Verification),3,0,All candidates failed
300,mmlu_business_ethics,Skipped (All Correct),0,0,
301,mmlu_business_ethics,Failed (Verification),3,0,All candidates failed
302,mmlu_business_ethics,Failed (Verification),1,0,All candidates failed
303,mmlu_business_ethics,Failed (Verification),5,0,All candidates failed
304,mmlu_business_ethics,Failed (Verification),5,0,All candidates failed
305,mmlu_business_ethics,Success,5,1,
306,mmlu_business_ethics,Failed (Verification),5,0,All candidates failed
307,mmlu_business_ethics,Success,4,1,
308,mmlu_business_ethics,Failed (Verification),5,0,All candidates failed
309,mmlu_business_ethics,Success,5,1,
310,mmlu_business_ethics,Skipped (All Correct),0,0,
311,mmlu_business_ethics,Failed (Verification),3,0,All candidates failed
